Cust_ID,Date,Description,Amount_EUR
411528,01.01.2022,Gj. Fillestare 01.01.2022,-114.12
411106,01.01.2022,Gj. Fillestare 01.01.2022,-1.93
4111265,01.01.2022,Gj. Fillestare 01.01.2022,58.70
4111797,01.01.2022,Gj. Fillestare 01.01.2022,20.40
411110,01.01.2022,Gj. Fillestare 01.01.2022,182.16
4111232_ks,01.01.2022,Gj. Fillestare 01.01.2022,27.00
411340_ks,01.01.2022,Gj. Fillestare 01.01.2022,18.00
4111541,01.01.2022,Gj. Fillestare 01.01.2022,52.75
4111906,01.01.2022,Gj. Fillestare 01.01.2022,74.95
411972_ks,01.01.2022,Gj. Fillestare 01.01.2022,278.05
4111786,01.01.2022,Gj. Fillestare 01.01.2022,76.80
411863,01.01.2022,Gj. Fillestare 01.01.2022,1622.20
4111671,01.01.2022,Gj. Fillestare 01.01.2022,43.97
411654_ks,01.01.2022,Gj. Fillestare 01.01.2022,165.00
4111135_ks,01.01.2022,Gj. Fillestare 01.01.2022,17.02
411047,01.01.2022,Gj. Fillestare 01.01.2022,41.04
411824,01.01.2022,Gj. Fillestare 01.01.2022,88.50
411780_ks,01.01.2022,Gj. Fillestare 01.01.2022,1086.80
411631,01.01.2022,Gj. Fillestare 01.01.2022,11.48
411193,01.01.2022,Gj. Fillestare 01.01.2022,45.20
411377,01.01.2022,Gj. Fillestare 01.01.2022,10.50
411660,01.01.2022,Gj. Fillestare 01.01.2022,40.34
411439_ks,01.01.2022,Gj. Fillestare 01.01.2022,21.60
411428_ks,01.01.2022,Gj. Fillestare 01.01.2022,10.00
411550,01.01.2022,Gj. Fillestare 01.01.2022,68.68
411216,01.01.2022,Gj. Fillestare 01.01.2022,82.21
411808_ks,01.01.2022,Gj. Fillestare 01.01.2022,63.00
411027,01.01.2022,Gj. Fillestare 01.01.2022,318.25
411221,01.01.2022,Gj. Fillestare 01.01.2022,20.40
411872_ks,01.01.2022,Gj. Fillestare 01.01.2022,117.00
411785_ks,01.01.2022,Gj. Fillestare 01.01.2022,122.00
411977,01.01.2022,Gj. Fillestare 01.01.2022,8.30
411207,01.01.2022,Gj. Fillestare 01.01.2022,195.45
