Cust_ID,Date,Inv_no,inv_amt
411074,03.01.2022,3,59.25
411207,03.01.2022,5,92.85
411207,03.01.2022,7,4.20
4111823,03.01.2022,8,26.23
4111901,03.01.2022,11,19.44
411221,03.01.2022,12,11.50
411590,03.01.2022,13,105.00
4111271,03.01.2022,14,20.88
4111320_ks,03.01.2022,42,212.00
411972_ks,03.01.2022,50,6.12
4111671,04.01.2022,17,18.72
4111671,04.01.2022,23,21.84
411590,04.01.2022,18,6.90
411590,04.01.2022,34,24.40
411188,04.01.2022,19,46.80
411110,04.01.2022,21,177.28
411977,04.01.2022,22,56.90
411321,04.01.2022,25,38.00
411321,04.01.2022,29,60.00
411321,04.01.2022,37,63.30
411734,04.01.2022,30,11.96
4111647,04.01.2022,35,64.80
411207,04.01.2022,36,211.69
411421_ks,04.01.2022,62,128.40
4111799,05.01.2022,51,293.60
4111799,05.01.2022,63,831.90
411248,05.01.2022,55,32.60
411248,05.01.2022,60,11.20
411248,05.01.2022,73,21.20
411072,05.01.2022,56,8.10
411734,05.01.2022,58,5.24
411734,05.01.2022,64,12.00
4111823,05.01.2022,61,36.07
411013,05.01.2022,62,7.20
411013,05.01.2022,75,23.80
411207,05.01.2022,65,109.10
411207,05.01.2022,72,37.00
411853,05.01.2022,67,75.84
4111651,05.01.2022,68,106.50
411321,05.01.2022,69,44.60
411780_ks,05.01.2022,80,74.50
411846_ks,05.01.2022,82,28.80
411846_ks,05.01.2022,88,22.80
411846_ks,05.01.2022,98,7.80
411892_ks,05.01.2022,91,14.10
411106,06.01.2022,79,63.56
411868,06.01.2022,77,103.04
411734,06.01.2022,80,23.50
411734,06.01.2022,118,13.50
411590,06.01.2022,81,63.00
411248,06.01.2022,83,38.70
411248,06.01.2022,99,22.20
411013,06.01.2022,85,52.00
411013,06.01.2022,109,-85.00
411047,06.01.2022,86,82.26
4111402,06.01.2022,87,90.01
411188,06.01.2022,92,10.80
411188,06.01.2022,106,11.88
411986,06.01.2022,90,90.36
411986,06.01.2022,91,21.60
411986,06.01.2022,93,51.88
411986,06.01.2022,94,53.04
411986,06.01.2022,95,33.24
411986,06.01.2022,96,51.86
411986,06.01.2022,97,19.56
411986,06.01.2022,98,27.06
411986,06.01.2022,103,53.52
411986,06.01.2022,104,19.68
411986,06.01.2022,105,26.64
411193,06.01.2022,100,50.00
411193,06.01.2022,101,5.60
411193,06.01.2022,102,22.36
411221,06.01.2022,107,12.60
411237,06.01.2022,108,51.65
411336,06.01.2022,110,45.96
411207,06.01.2022,112,94.66
411207,06.01.2022,113,14.48
411863,06.01.2022,119,125.59
4111180,06.01.2022,121,22.95
411836_ks,06.01.2022,106,18.50
411780_ks,06.01.2022,108,19.00
411268_ks,06.01.2022,110,84.00
411421_ks,06.01.2022,111,139.20
411659_ks,06.01.2022,114,19.50
411972_ks,06.01.2022,117,43.20
411780_ks,06.01.2022,123,10.00
411643_ks,06.01.2022,125,4.20
411846_ks,06.01.2022,126,15.00
411106,07.01.2022,123,78.00
411868,07.01.2022,128,95.00
411375,07.01.2022,129,153.45
411631,07.01.2022,130,113.44
411013,07.01.2022,132,17.20
411601,07.01.2022,134,113.36
411188,07.01.2022,135,7.20
411207,07.01.2022,140,141.70
411074,07.01.2022,141,6.80
411072,07.01.2022,142,18.10
411271_ks,07.01.2022,128,78.00
411854_ks,07.01.2022,132,48.50
411777_ks,06.01.2022,138,66.36
411216,08.01.2022,145,40.20
411188,08.01.2022,147,18.00
4111671,08.01.2022,148,45.76
411237,08.01.2022,152,42.70
411237,08.01.2022,163,20.73
411183,08.01.2022,153,29.60
411196,08.01.2022,154,22.90
411550,08.01.2022,155,22.80
411863,08.01.2022,156,47.52
411734,08.01.2022,160,9.86
411193,08.01.2022,162,41.40
411634_ks,08.01.2022,147,63.60
411343_ks,08.01.2022,152,19.50
411660,10.01.2022,165,94.00
411660,10.01.2022,166,86.80
411071,10.01.2022,170,13.11
411734,10.01.2022,175,13.40
411734,10.01.2022,195,7.50
